scenario,role,effect_fraction,n_pairs,active_calls,calls_with_shams,coupling,unusable_fraction,expected_focus_difference,expected_nondefault_difference,pooled_hits,pooled_n_simulations,pooled_rate,pooled_ci_lo,pooled_ci_hi,nondefault_hits,nondefault_n_simulations,nondefault_rate,nondefault_ci_lo,nondefault_ci_hi,joint_hits,joint_n_simulations,joint_rate,joint_ci_lo,joint_ci_hi,focus_fairness_hits,focus_fairness_n_simulations,focus_fairness_rate,focus_fairness_ci_lo,focus_fairness_ci_hi,focus_risk_hits,focus_risk_n_simulations,focus_risk_rate,focus_risk_ci_lo,focus_risk_ci_hi,focus_expertise_hits,focus_expertise_n_simulations,focus_expertise_rate,focus_expertise_ci_lo,focus_expertise_ci_hi
belief_static,invariant_null,0.0,72,144,192,negative_bound,0.1,-9.05911148565666e-18,2.6020852139652106e-18,99,5000,0.0198,0.01629103729527757,0.024046290728854936,79,5000,0.0158,0.012696585024719542,0.019646884840513613,25,5000,0.005,0.0033890775204861016,0.007370975315718786,6,5000,0.0012,0.0005500756587335479,0.002615811926516952,61,5000,0.0122,0.00950981475670272,0.01563918276552101,71,5000,0.0142,0.011273559646769033,0.01787236695490437
belief_static,invariant_null,0.0,144,288,384,independent,0.0,1.4937896598689173e-18,4.553649124439119e-18,100,5000,0.02,0.016471933678631395,0.024265087253446074,74,5000,0.0148,0.011806050426256876,0.018538954899251434,27,5000,0.0054,0.003713916213769333,0.00784552243832549,36,5000,0.0072,0.005205365212759887,0.009951309610839645,76,5000,0.0152,0.012161821505719159,0.018982569635679084,73,5000,0.0146,0.011628394959642338,0.018316917457921
belief_static,invariant_null,0.0,144,288,384,independent,0.1,1.4937896598689173e-18,4.553649124439119e-18,86,5000,0.0172,0.013949165667525344,0.021192154553322576,66,5000,0.0132,0.010389403252556018,0.01675805880939255,24,5000,0.0048,0.00322775763196324,0.007132602296296678,37,5000,0.0074,0.005373566400957179,0.010182801330587321,67,5000,0.0134,0.010565885112331141,0.016981269857562393,82,5000,0.0164,0.013232612095298076,0.02030993649376998
belief_static,invariant_null,0.0,144,288,384,negative_bound,0.0,1.4937896598689173e-18,4.553649124439119e-18,88,5000,0.0176,0.014308195226544798,0.02163251081019306,68,5000,0.0136,0.010742545429440987,0.01720430244839751,22,5000,0.0044,0.00290754291665071,0.006653431195719275,46,5000,0.0092,0.006904702346799829,0.012248901556249381,60,5000,0.012,0.009334492301086808,0.015414812313191951,92,5000,0.0184,0.015027678088938907,0.02251179957957882
belief_static,invariant_null,0.0,144,288,384,negative_bound,0.1,1.4937896598689173e-18,4.553649124439119e-18,94,5000,0.0188,0.0153881013071799,0.022950762177227767,80,5000,0.016,0.012875123748789068,0.01986803902438905,23,5000,0.0046,0.003067229476888848,0.006893437543426104,40,5000,0.008,0.0058806486976492565,0.010874797757730148,74,5000,0.0148,0.011806050426256876,0.018538954899251434,80,5000,0.016,0.012875123748789068,0.01986803902438905
belief_static,invariant_null,0.0,288,576,768,independent,0.0,9.083204867267448e-18,1.0733601507606494e-17,99,5000,0.0198,0.01629103729527757,0.024046290728854936,81,5000,0.0162,0.0130538002633094,0.02008905541781368,29,5000,0.0058,0.004041431411009417,0.00831739305697534,74,5000,0.0148,0.011806050426256876,0.018538954899251434,80,5000,0.016,0.012875123748789068,0.01986803902438905,89,5000,0.0178,0.014487890891917016,0.021852508052765812
belief_static,invariant_null,0.0,288,576,768,independent,0.1,9.083204867267448e-18,1.0733601507606494e-17,98,5000,0.0196,0.016110241929952362,0.023827393186235175,96,5000,0.0192,0.01574896030669719,0.023389288993600408,37,5000,0.0074,0.005373566400957179,0.010182801330587321,65,5000,0.013,0.0102131038076004,0.016534665346403195,84,5000,0.0168,0.01359063218705935,0.020751302217898636,71,5000,0.0142,0.011273559646769033,0.01787236695490437
belief_static,invariant_null,0.0,288,576,768,negative_bound,0.0,9.083204867267448e-18,1.0733601507606494e-17,107,5000,0.0214,0.017740918016567058,0.025793953271125183,92,5000,0.0184,0.015027678088938907,0.02251179957957882,35,5000,0.007,0.005037604888092059,0.009719377027562506,71,5000,0.0142,0.011273559646769033,0.01787236695490437,88,5000,0.0176,0.014308195226544798,0.02163251081019306,107,5000,0.0214,0.017740918016567058,0.025793953271125183
belief_static,invariant_null,0.0,288,576,768,negative_bound,0.1,9.083204867267448e-18,1.0733601507606494e-17,110,5000,0.022,0.018286147602522732,0.026447802409004417,101,5000,0.0202,0.016652929613278054,0.024483784226744385,39,5000,0.0078,0.0057112237321092305,0.010644529815325205,60,5000,0.012,0.009334492301086808,0.015414812313191951,87,5000,0.0174,0.014128619480519324,0.021412393648273565,106,5000,0.0212,0.017559353655852664,0.025575824723894615
belief_static,invariant_null,0.0,576,1152,1536,independent,0.0,6.842520377464073e-18,9.974659986866641e-18,105,5000,0.021,0.01737788075604151,0.025357604715760807,103,5000,0.0206,0.017015214447012893,0.024920885208899485,33,5000,0.0066,0.004703481688179132,0.009254114411585497,81,5000,0.0162,0.0130538002633094,0.02008905541781368,90,5000,0.018,0.014667704518575023,0.022072387334052767,79,5000,0.0158,0.012696585024719542,0.019646884840513613
