subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
swap_late:expertise_to_risk,accuracy,simple_minus_belief,-0.01,0.07880689256524123,0.0,-0.2,0.2,20,3,-0.05,0.02
own_round:1,log_loss,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round:1,brier,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round:1,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
own_round:2,log_loss,simple_minus_belief,0.019022279854236553,0.05196082925029691,-0.014484047461323143,-0.044809696985360414,0.08662280983167175,20,0,-0.0035566716090419,0.04220716985928223
own_round:2,brier,simple_minus_belief,0.01110773054605452,0.03962737182986571,-0.014649668165944072,-0.0392264081625813,0.0653620348594092,20,0,-0.00588853096774558,0.028966306228154607
own_round:2,accuracy,simple_minus_belief,0.04583333333333332,0.21198553133899498,0.0,-0.3333333333333333,0.6666666666666666,20,3,-0.03333333333333333,0.14999999999999997
own_round:3,log_loss,simple_minus_belief,0.00716056218035047,0.04877033643947554,0.022202951573486153,-0.10975453183810849,0.0632888000947484,20,2,-0.015540388219103411,0.02701328561613183
own_round:3,brier,simple_minus_belief,0.004101966410204163,0.033486880231671345,0.013905475205512387,-0.07569383352284548,0.04462124697785863,20,1,-0.011505315490605019,0.017803707704818254
own_round:3,accuracy,simple_minus_belief,-0.0125,0.055901699437494734,0.0,-0.25,0.0,20,1,-0.0375,0.0
own_round:4,log_loss,simple_minus_belief,-0.008256749539065893,0.04905083342082802,-0.015932512300133393,-0.11948015071049617,0.11128351751371404,20,2,-0.028684672887213138,0.013502686709661454
own_round:4,brier,simple_minus_belief,-0.0036329012765609716,0.033957844580243264,-0.005020903738936405,-0.07424191716526082,0.07730097485040359,20,2,-0.018079025821194663,0.011193907497527767
own_round:4,accuracy,simple_minus_belief,0.03333333333333334,0.11597539565640991,0.0,0.0,0.5,20,2,0.0,0.09166666666666667
own_round:5,log_loss,simple_minus_belief,0.01905450774659886,0.057377998545732334,0.0052517477895725785,-0.05671947756716813,0.1801171950924227,20,1,-0.005193651715722904,0.04497056504593724
own_round:5,brier,simple_minus_belief,0.009664817266475879,0.035664894880028455,0.008772157238666162,-0.04901916769977343,0.08088097230885472,20,0,-0.00592717893394639,0.025163568539426046
own_round:5,accuracy,simple_minus_belief,-0.0125,0.055901699437494734,0.0,-0.25,0.0,20,1,-0.0375,0.0
own_round:6,log_loss,simple_minus_belief,0.007746542657606116,0.05561252251706346,0.007414231500606905,-0.08635180141192929,0.13237577645891654,20,0,-0.015935896119535834,0.03310779320453635
own_round:6,brier,simple_minus_belief,0.006646397521186867,0.032857244154765056,0.004374339486835984,-0.041509208605446345,0.08339878245372664,20,0,-0.006986474182242841,0.021711440376027593
own_round:6,accuracy,simple_minus_belief,-0.03333333333333333,0.06282808624375433,0.0,-0.16666666666666669,0.0,20,5,-0.0625,-0.008333333333333333
own_round:7,log_loss,simple_minus_belief,0.005576123641086335,0.05361840776474633,0.0030682429378619666,-0.110464804696283,0.10400664546650505,20,0,-0.017706451879904425,0.028339910548282388
own_round:7,brier,simple_minus_belief,0.003456804424063207,0.03722036692238163,0.0032070833538205843,-0.06775690841734555,0.07935424047621449,20,0,-0.012595702271436892,0.019788392974714752
own_round:7,accuracy,simple_minus_belief,0.0,0.027036903521793755,0.0,-0.08333333333333333,0.08333333333333333,20,2,-0.0125,0.0125
own_round:8,log_loss,simple_minus_belief,-0.016163160540830446,0.050793652836813884,-0.022330402513638756,-0.13453004864906898,0.07055420082479513,20,0,-0.03800947392559257,0.005624890203530369
own_round:8,brier,simple_minus_belief,-0.0074103122690035465,0.028298686177111735,-0.018046712176310917,-0.055259240068453515,0.05154267411109251,20,0,-0.01896073226291726,0.004847928410687817
own_round:8,accuracy,simple_minus_belief,0.016666666666666666,0.05798769782820495,0.0,-0.08333333333333333,0.16666666666666666,20,4,-0.004166666666666667,0.041666666666666664
own_round:9,log_loss,simple_minus_belief,-0.00468528967856542,0.05026501546595469,-0.011118040718617023,-0.15795237456211367,0.08019074696429285,20,1,-0.02767541341909734,0.015436166568432878
own_round:9,brier,simple_minus_belief,0.0005900306248387624,0.02873262590219611,-0.0028642872116666214,-0.04986057876071652,0.06542311896519463,20,0,-0.011642700033071461,0.012792228593030693
own_round:9,accuracy,simple_minus_belief,0.0,0.06045635417583431,0.0,-0.16666666666666666,0.16666666666666666,20,4,-0.025,0.025
own_round:10,log_loss,simple_minus_belief,-0.005766321993812368,0.06292534281659369,-0.006037686627475016,-0.13787023767374418,0.1403163700747466,20,0,-0.03351633329037956,0.02129343009416839
own_round:10,brier,simple_minus_belief,-0.004187588949419247,0.03644403288334281,-0.002926201644089535,-0.09019675535074412,0.07051829309925588,20,0,-0.020831917424369302,0.01131296192351921
