subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
swap_post:fairness_to_expertise,log_loss,simple_minus_belief,-0.04503752720708437,0.12491097542898072,-0.010683194396977848,-0.49515076507301303,0.052247590581671756,20,2,-0.10715722104533891,-0.0021176129406756065
swap_post:fairness_to_expertise,brier,simple_minus_belief,-0.031504651346771495,0.10558990416528889,-0.0018595868262413064,-0.4062398983047898,0.04061090704329032,20,2,-0.08384246999577356,0.004655437549352805
swap_post:fairness_to_expertise,accuracy,simple_minus_belief,0.04000000000000001,0.2062190965683675,0.0,-0.1,0.8,20,6,-0.03,0.145
swap_late:fairness_to_expertise,log_loss,simple_minus_belief,-0.05607408832273626,0.16150771660202226,-0.004210733425226573,-0.5755278593449658,0.09991658909021864,20,3,-0.13541541129749973,0.0025166152883462326
swap_late:fairness_to_expertise,brier,simple_minus_belief,-0.04111856982095091,0.134033707573441,-0.0010467113416954177,-0.4815252173124645,0.06702129630033328,20,6,-0.1080787420968578,0.005962147487345375
swap_late:fairness_to_expertise,accuracy,simple_minus_belief,0.06000000000000001,0.2683281572999748,0.0,-0.2,1.0,20,4,-0.030000000000000006,0.19
swap_post:risk_to_fairness,log_loss,simple_minus_belief,-0.038623746346769634,0.0807516546377006,-0.020390625268495784,-0.26391846376951916,0.08045303456285668,20,3,-0.07603635087870378,-0.007740504288238898
swap_post:risk_to_fairness,brier,simple_minus_belief,-0.02126266298327501,0.0550676347002583,-0.014408359171088767,-0.2164490694346384,0.061615859814771703,20,5,-0.047298166688757075,-0.0011461438952978284
swap_post:risk_to_fairness,accuracy,simple_minus_belief,0.015000000000000003,0.10894228312566055,0.0,-0.2,0.30000000000000004,20,3,-0.030000000000000006,0.065
swap_late:risk_to_fairness,log_loss,simple_minus_belief,-0.029540237633146827,0.12176922506840977,-0.009941342039914145,-0.38991988492673224,0.23072135525215734,20,4,-0.08596037976516026,0.019203982879814452
swap_late:risk_to_fairness,brier,simple_minus_belief,-0.018608559444380963,0.0881050196201592,-0.012799811269248175,-0.3256724400874938,0.15440489023454348,20,3,-0.060095149192995294,0.015163161789653762
swap_late:risk_to_fairness,accuracy,simple_minus_belief,0.02,0.20416711421361616,0.0,-0.4,0.6000000000000001,20,9,-0.06000000000000001,0.11000000000000003
swap_post:risk_to_expertise,log_loss,simple_minus_belief,-0.024959785558431574,0.09032429123834816,0.003387268470084628,-0.32747083150247863,0.12464767176526569,20,2,-0.06813988655823983,0.0096579268573353
swap_post:risk_to_expertise,brier,simple_minus_belief,-0.013003105160819312,0.044024441455030434,-0.002652693335561643,-0.12494564389430662,0.07034449492995085,20,4,-0.03313004430414783,0.004399160256599559
swap_post:risk_to_expertise,accuracy,simple_minus_belief,0.0,0.07947194142390264,0.0,-0.1,0.2,20,9,-0.034999999999999996,0.035
swap_late:risk_to_expertise,log_loss,simple_minus_belief,-0.015375835411060029,0.11872169102305319,0.004662178085837653,-0.34511239141948563,0.14340329145025194,20,2,-0.07108911822880624,0.0306369476733242
swap_late:risk_to_expertise,brier,simple_minus_belief,-0.009859416750076263,0.06676675363196462,0.00020346250041146556,-0.2352830748393666,0.08201261386086726,20,6,-0.04142246294157707,0.014507271520983545
swap_late:risk_to_expertise,accuracy,simple_minus_belief,0.0,0.11239029738980329,0.0,-0.2,0.4,20,3,-0.04,0.05000000000000001
swap_post:expertise_to_fairness,log_loss,simple_minus_belief,-0.002859964132696911,0.03163099323856396,0.0037320244862414794,-0.06808037246370847,0.07373715599578455,20,0,-0.016157030021243343,0.01056055859183355
swap_post:expertise_to_fairness,brier,simple_minus_belief,-0.003906110652276973,0.01642747649497412,0.00043931603174294023,-0.040234165113825354,0.03177251954423944,20,0,-0.01099410398052875,0.002996579013203178
swap_post:expertise_to_fairness,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
swap_late:expertise_to_fairness,log_loss,simple_minus_belief,-0.005647166860885613,0.05471695907164371,-0.011042636286878581,-0.08235123941531008,0.14832668121118858,20,1,-0.02742756058894468,0.018851042755028306
swap_late:expertise_to_fairness,brier,simple_minus_belief,-0.005623101963376934,0.02814560286560746,-0.0032253931570293427,-0.049589151854643666,0.06400096959445165,20,1,-0.017016617418077598,0.006749890388508427
